Date,Order ID,Menu Items,Total Price
09/26/2024,09262024_24,"{'Strawberry Lemonade Tea': (1, 0, 0), 'Mango Green Tea': (2, 0, 1)}",11.0
09/26/2024,09262024_25,"{'Ube Milk Tea': (2, 2, 0), 'Original Milk Tea': (0, 1, 0), 'Strawberry Matcha': (1, 2, 1)}",61.25
09/26/2024,09262024_26,"{'Strawberry Matcha': (2, 3, 0), 'Winter Melon Green Tea': (2, 2, 0)}",65.25
09/26/2024,09262024_27,"{'Strawberry Lemonade Tea': (1, 1, 2), 'Ube Milk Tea': (1, 1, 0), 'Oolong Milk Tea': (0, 2, 1), 'Green Milk Tea': (0, 3, 0)}",60.0
09/26/2024,09262024_28,"{'Green Milk Tea': (0, 1, 0), 'Ice Blend Latte': (0, 1, 2), 'Cappuccino Milk Tea': (1, 2, 1)}",51.0
09/26/2024,09262024_29,"{'Secret Matcha': (1, 2, 0)}",206.75
09/26/2024,09262024_30,"{'Coconut Milk Tea': (1, 0, 1), 'Oolong Milk Tea': (2, 2, 0), 'Protein Shake Milk Tea': (0, 1, 0)}",43.25
09/26/2024,09262024_31,"{'Secret Matcha': (0, 1, 0)}",69.25
09/26/2024,09262024_32,"{'Ube Milk Tea': (2, 2, 1), 'Oolong Milk Tea': (2, 0, 1), 'Coconut Milk Tea': (0, 0, 2)}",66.5
09/26/2024,09262024_33,"{'Mango Green Tea': (1, 0, 1), 'Ice Blend Latte': (1, 3, 2), 'Green Milk Tea': (0, 1, 0)}",60.75
09/26/2024,09262024_34,"{'Ube Milk Tea': (0, 1, 0), 'Mango Green Tea': (0, 1, 0), 'Coconut Milk Tea': (2, 2, 1)}",45.75
09/26/2024,09262024_35,"{'Coconut Milk Tea': (0, 1, 0), 'Ube Milk Tea': (2, 3, 2), 'Oolong Milk Tea': (1, 0, 1), 'Passionfruit Green Tea': (1, 2, 1)}",97.5
09/26/2024,09262024_36,"{'Strawberry Matcha': (0, 3, 1)}",38.25
09/26/2024,09262024_37,"{'Green Milk Tea': (0, 0, 1), 'Cappuccino Milk Tea': (2, 3, 1), 'Mango Green Tea': (2, 0, 2)}",75.5
09/26/2024,09262024_38,"{'Original Milk Tea': (0, 1, 1)}",11.5
09/26/2024,09262024_39,"{'Ube Milk Tea': (1, 0, 0), 'Secret Matcha': (0, 2, 0), 'Peach Oolong Tea': (2, 2, 1)}",180.0
09/26/2024,09262024_40,"{'Secret Matcha': (0, 0, 1), 'Coconut Milk Tea': (2, 3, 2)}",121.0
09/26/2024,09262024_41,"{'Peach Oolong Tea': (1, 2, 0), 'Winter Melon Green Tea': (1, 2, 2), 'Secret Matcha': (0, 2, 0)}",201.5
09/26/2024,09262024_42,"{'Strawberry Matcha': (0, 3, 0)}",21.75
09/26/2024,09262024_43,"{'Strawberry Lemonade Tea': (0, 2, 1), 'Peach Oolong Tea': (2, 3, 0)}",58.0
09/26/2024,09262024_44,"{'Green Milk Tea': (2, 3, 1)}",30.5
09/26/2024,09262024_45,"{'Strawberry Matcha': (1, 2, 2)}",37.25
09/26/2024,09262024_46,"{'Peach Oolong Tea': (2, 0, 1), 'Passionfruit Green Tea': (0, 1, 1)}",36.25
09/26/2024,09262024_47,"{'Protein Shake Milk Tea': (1, 2, 1), 'Black Milk Tea': (2, 2, 1), 'Ube Milk Tea': (0, 3, 0), 'Passionfruit Green Tea': (0, 3, 2)}",124.25
09/26/2024,09262024_48,"{'Winter Melon Green Tea': (2, 0, 0), 'Strawberry Lemonade Tea': (2, 0, 0), 'Original Milk Tea': (0, 1, 1), 'Passionfruit Green Tea': (2, 0, 1)}",51.25
09/26/2024,09262024_49,"{'Winter Melon Green Tea': (2, 3, 1), 'Strawberry Lemonade Tea': (1, 0, 0), 'Oolong Milk Tea': (1, 2, 1)}",83.75
09/26/2024,09262024_50,"{'Protein Shake Milk Tea': (1, 1, 1), 'Winter Melon Green Tea': (1, 3, 1)}",70.5
09/26/2024,09262024_51,"{'Black Milk Tea': (2, 3, 1), 'Peach Oolong Tea': (2, 0, 1)}",56.5
09/26/2024,09262024_52,"{'Oolong Milk Tea': (1, 3, 1), 'Ube Milk Tea': (0, 1, 2)}",50.0
09/26/2024,09262024_53,"{'Mango Green Tea': (0, 3, 2), 'Ube Milk Tea': (1, 2, 2), 'Oolong Milk Tea': (2, 3, 0), 'Strawberry Lemonade Tea': (1, 2, 0)}",88.5
09/26/2024,09262024_54,"{'Secret Matcha': (2, 0, 1), 'Protein Shake Milk Tea': (1, 0, 2), 'Ice Blend Latte': (2, 3, 1), 'Strawberry Lemonade Tea': (1, 0, 2)}",284.25
09/26/2024,09262024_55,"{'Cappuccino Milk Tea': (2, 2, 2), 'Oolong Milk Tea': (1, 3, 2), 'Coconut Milk Tea': (2, 3, 2)}",120.75
09/26/2024,09262024_56,"{'Secret Matcha': (0, 0, 2), 'Strawberry Matcha': (2, 3, 2), 'Oolong Milk Tea': (0, 3, 2), 'Ube Milk Tea': (1, 1, 0)}",233.0
09/26/2024,09262024_57,"{'Strawberry Lemonade Tea': (1, 2, 0)}",8.75
09/26/2024,09262024_58,"{'Mango Green Tea': (2, 2, 0)}",11.0
09/26/2024,09262024_59,"{'Winter Melon Green Tea': (0, 0, 2), 'Coconut Milk Tea': (0, 2, 2), 'Strawberry Matcha': (2, 3, 1)}",92.0
09/26/2024,09262024_60,"{'Green Milk Tea': (2, 3, 2)}",36.75
09/26/2024,09262024_61,"{'Original Milk Tea': (0, 1, 1)}",11.5
09/26/2024,09262024_62,"{'Winter Melon Green Tea': (2, 0, 0)}",14.5
09/26/2024,09262024_63,"{'Oolong Milk Tea': (0, 2, 2), 'Coconut Milk Tea': (0, 1, 2)}",46.75
09/26/2024,09262024_64,"{'Original Milk Tea': (2, 0, 1)}",14.75
09/26/2024,09262024_65,"{'Coconut Milk Tea': (1, 3, 1), 'Secret Matcha': (2, 0, 1), 'Protein Shake Milk Tea': (1, 0, 1)}",262.5
09/26/2024,09262024_66,"{'Strawberry Matcha': (2, 2, 1), 'Ube Milk Tea': (1, 3, 0)}",63.25
09/26/2024,09262024_67,"{'Coconut Milk Tea': (0, 0, 1), 'Protein Shake Milk Tea': (1, 0, 1)}",27.75
09/26/2024,09262024_68,"{'Green Milk Tea': (2, 2, 1), 'Original Milk Tea': (2, 0, 2)}",66.25
09/26/2024,09262024_69,"{'Ice Blend Latte': (2, 1, 2), 'Black Milk Tea': (0, 2, 1), 'Winter Melon Green Tea': (0, 1, 2)}",74.75
09/26/2024,09262024_70,"{'Passionfruit Green Tea': (0, 0, 2), 'Mango Green Tea': (1, 1, 0), 'Strawberry Lemonade Tea': (2, 0, 1)}",30.75
09/26/2024,09262024_71,"{'Coconut Milk Tea': (0, 1, 0), 'Mango Green Tea': (1, 2, 2), 'Protein Shake Milk Tea': (0, 1, 2)}",55.75
09/26/2024,09262024_72,"{'Coconut Milk Tea': (2, 1, 1), 'Black Milk Tea': (1, 3, 2), 'Secret Matcha': (1, 3, 1)}",443.0
09/26/2024,09262024_73,"{'Black Milk Tea': (2, 1, 0)}",13.75
09/26/2024,09262024_74,"{'Cappuccino Milk Tea': (0, 3, 0), 'Strawberry Lemonade Tea': (2, 0, 0)}",23.25
09/26/2024,09262024_75,"{'Black Milk Tea': (0, 1, 0), 'Oolong Milk Tea': (2, 1, 0), 'Strawberry Lemonade Tea': (1, 2, 2)}",62.5
09/26/2024,09262024_76,"{'Peach Oolong Tea': (2, 3, 1), 'Secret Matcha': (0, 1, 0)}",111.75
09/26/2024,09262024_77,"{'Ice Blend Latte': (1, 1, 2), 'Secret Matcha': (0, 1, 0)}",95.25
09/26/2024,09262024_78,"{'Coconut Milk Tea': (1, 3, 1), 'Black Milk Tea': (0, 1, 1), 'Secret Matcha': (2, 3, 2), 'Passionfruit Green Tea': (2, 2, 1)}",567.75
09/26/2024,09262024_79,"{'Mango Green Tea': (2, 2, 1), 'Ice Blend Latte': (1, 0, 2)}",35.0
09/26/2024,09262024_80,"{'Oolong Milk Tea': (2, 2, 2), 'Protein Shake Milk Tea': (2, 1, 0)}",58.75
09/26/2024,09262024_81,"{'Ice Blend Latte': (2, 2, 1), 'Mango Green Tea': (2, 1, 2), 'Peach Oolong Tea': (2, 2, 2), 'Coconut Milk Tea': (0, 2, 0)}",104.5
09/26/2024,09262024_82,"{'Strawberry Matcha': (1, 3, 1), 'Secret Matcha': (1, 1, 2), 'Cappuccino Milk Tea': (1, 0, 1)}",326.75
09/26/2024,09262024_83,"{'Strawberry Matcha': (0, 1, 0), 'Black Milk Tea': (0, 0, 1)}",13.5
09/26/2024,09262024_84,"{'Passionfruit Green Tea': (0, 0, 2), 'Ice Blend Latte': (2, 1, 2)}",82.0
09/26/2024,09262024_85,"{'Original Milk Tea': (0, 1, 0), 'Strawberry Matcha': (2, 1, 2)}",41.5
09/27/2024,09272024_1,"{'Passionfruit Green Tea': (1, 0, 0), 'Ice Blend Latte': (2, 3, 0)}",49.0
09/27/2024,09272024_2,"{'Passionfruit Green Tea': (0, 0, 1)}",8.25
09/27/2024,09272024_3,"{'Mango Green Tea': (0, 1, 1), 'Cappuccino Milk Tea': (1, 2, 2), 'Strawberry Lemonade Tea': (0, 3, 1)}",53.75
09/27/2024,09272024_4,"{'Cappuccino Milk Tea': (0, 3, 0), 'Secret Matcha': (2, 1, 1)}",294.75
09/27/2024,09272024_5,"{'Mango Green Tea': (0, 1, 0), 'Ube Milk Tea': (0, 3, 1), 'Protein Shake Milk Tea': (0, 3, 0)}",62.5
09/27/2024,09272024_6,"{'Protein Shake Milk Tea': (0, 1, 2)}",31.25
09/27/2024,09272024_7,"{'Winter Melon Green Tea': (2, 0, 0)}",14.5
09/27/2024,09272024_8,"{'Oolong Milk Tea': (2, 0, 2)}",21.0
09/27/2024,09272024_9,"{'Mango Green Tea': (1, 0, 0), 'Secret Matcha': (0, 2, 2)}",281.25
09/27/2024,09272024_10,"{'Original Milk Tea': (1, 1, 0), 'Strawberry Matcha': (0, 0, 2)}",26.0
09/27/2024,09272024_11,"{'Strawberry Lemonade Tea': (0, 2, 1)}",10.75
09/27/2024,09272024_12,"{'Winter Melon Green Tea': (0, 1, 2), 'Original Milk Tea': (0, 1, 0)}",32.0
09/27/2024,09272024_13,"{'Winter Melon Green Tea': (2, 0, 2), 'Secret Matcha': (0, 3, 0)}",240.75
09/27/2024,09272024_14,"{'Oolong Milk Tea': (0, 1, 0)}",5.25
09/27/2024,09272024_15,"{'Black Milk Tea': (1, 2, 2), 'Ice Blend Latte': (0, 1, 1)}",40.75
09/27/2024,09272024_16,"{'Passionfruit Green Tea': (1, 2, 0)}",20.75
09/27/2024,09272024_17,"{'Strawberry Lemonade Tea': (2, 3, 0)}",14.25
09/27/2024,09272024_18,"{'Cappuccino Milk Tea': (1, 1, 0)}",11.5
09/27/2024,09272024_19,"{'Ice Blend Latte': (0, 0, 1), 'Strawberry Lemonade Tea': (1, 2, 0), 'Coconut Milk Tea': (1, 3, 1)}",52.25
09/27/2024,09272024_20,"{'Peach Oolong Tea': (0, 3, 0), 'Black Milk Tea': (2, 1, 1), 'Secret Matcha': (0, 1, 1)}",181.25
09/27/2024,09272024_21,"{'Ice Blend Latte': (0, 1, 0), 'Protein Shake Milk Tea': (0, 3, 1)}",46.25
09/27/2024,09272024_22,"{'Cappuccino Milk Tea': (1, 1, 0)}",11.5
09/27/2024,09272024_23,"{'Protein Shake Milk Tea': (1, 1, 2), 'Original Milk Tea': (2, 3, 2), 'Cappuccino Milk Tea': (2, 1, 1)}",100.75
09/27/2024,09272024_24,"{'Peach Oolong Tea': (2, 3, 0), 'Coconut Milk Tea': (2, 3, 1)}",76.75
09/27/2024,09272024_25,"{'Strawberry Matcha': (0, 3, 0)}",21.75
09/27/2024,09272024_26,"{'Strawberry Lemonade Tea': (1, 3, 0), 'Ube Milk Tea': (2, 1, 1)}",40.0
09/27/2024,09272024_27,"{'Cappuccino Milk Tea': (0, 1, 0)}",6.25
09/27/2024,09272024_28,"{'Ice Blend Latte': (2, 3, 2), 'Coconut Milk Tea': (1, 0, 1), 'Strawberry Lemonade Tea': (1, 0, 0)}",60.5
09/27/2024,09272024_29,"{'Oolong Milk Tea': (1, 3, 0), 'Secret Matcha': (2, 1, 1), 'Peach Oolong Tea': (2, 3, 0)}",330.25
09/27/2024,09272024_30,"{'Winter Melon Green Tea': (0, 1, 0), 'Coconut Milk Tea': (0, 2, 1), 'Ube Milk Tea': (0, 2, 2)}",62.0
09/27/2024,09272024_31,"{'Mango Green Tea': (2, 2, 1), 'Ube Milk Tea': (2, 2, 0), 'Cappuccino Milk Tea': (2, 0, 2), 'Coconut Milk Tea': (2, 2, 1)}",102.5
09/27/2024,09272024_32,"{'Oolong Milk Tea': (0, 1, 1), 'Coconut Milk Tea': (0, 0, 2)}",28.0
09/27/2024,09272024_33,"{'Original Milk Tea': (2, 2, 0), 'Secret Matcha': (2, 1, 2)}",365.25
09/27/2024,09272024_34,"{'Green Milk Tea': (1, 3, 2), 'Cappuccino Milk Tea': (0, 1, 0)}",38.75
09/27/2024,09272024_35,"{'Mango Green Tea': (0, 2, 0), 'Ube Milk Tea': (2, 3, 1)}",49.0
09/27/2024,09272024_36,"{'Ice Blend Latte': (2, 3, 1), 'Secret Matcha': (0, 1, 0), 'Strawberry Matcha': (0, 2, 2)}",136.75
09/27/2024,09272024_37,"{'Passionfruit Green Tea': (2, 0, 1)}",20.75
09/27/2024,09272024_38,"{'Black Milk Tea': (1, 1, 2)}",22.0
09/27/2024,09272024_39,"{'Coconut Milk Tea': (0, 1, 0)}",7.25
09/27/2024,09272024_40,"{'Winter Melon Green Tea': (1, 2, 2), 'Oolong Milk Tea': (0, 2, 2)}",65.25
09/27/2024,09272024_41,"{'Original Milk Tea': (0, 0, 2)}",12.5
09/27/2024,09272024_42,"{'Strawberry Lemonade Tea': (2, 0, 2), 'Strawberry Matcha': (2, 0, 0)}",70.0
09/27/2024,09272024_43,"{'Oolong Milk Tea': (1, 1, 1), 'Mango Green Tea': (2, 0, 0)}",20.25
09/27/2024,09272024_44,"{'Winter Melon Green Tea': (0, 1, 1), 'Strawberry Matcha': (2, 2, 1)}",52.75
09/27/2024,09272024_45,"{'Mango Green Tea': (1, 3, 2), 'Ube Milk Tea': (0, 2, 1)}",43.25
09/27/2024,09272024_46,"{'Strawberry Lemonade Tea': (0, 3, 0), 'Original Milk Tea': (1, 1, 1)}",25.5
09/27/2024,09272024_47,"{'Peach Oolong Tea': (0, 1, 0)}",7.25
09/27/2024,09272024_48,"{'Oolong Milk Tea': (2, 2, 0)}",19.0
09/27/2024,09272024_49,"{'Ice Blend Latte': (2, 1, 2), 'Winter Melon Green Tea': (0, 2, 0), 'Peach Oolong Tea': (2, 3, 0)}",82.0
09/27/2024,09272024_50,"{'Peach Oolong Tea': (0, 3, 0), 'Protein Shake Milk Tea': (1, 0, 2), 'Strawberry Matcha': (2, 3, 0), 'Cappuccino Milk Tea': (2, 1, 2)}",117.5
09/27/2024,09272024_51,"{'Winter Melon Green Tea': (1, 2, 2)}",42.25
09/27/2024,09272024_52,"{'Original Milk Tea': (1, 0, 2), 'Ice Blend Latte': (1, 3, 1)}",48.0
09/27/2024,09272024_53,"{'Peach Oolong Tea': (1, 1, 0), 'Passionfruit Green Tea': (1, 3, 2)}",58.0
09/27/2024,09272024_54,"{'Green Milk Tea': (0, 3, 2), 'Cappuccino Milk Tea': (1, 3, 0), 'Ube Milk Tea': (2, 1, 1)}",80.25
09/27/2024,09272024_55,"{'Protein Shake Milk Tea': (0, 2, 0), 'Black Milk Tea': (0, 1, 1)}",31.0
09/27/2024,09272024_56,"{'Peach Oolong Tea': (2, 2, 1)}",35.25
09/27/2024,09272024_57,"{'Oolong Milk Tea': (1, 1, 2)}",22.0
09/27/2024,09272024_58,"{'Ice Blend Latte': (0, 1, 1), 'Secret Matcha': (2, 0, 0)}",325.0
09/27/2024,09272024_59,"{'Protein Shake Milk Tea': (2, 2, 2), 'Oolong Milk Tea': (1, 1, 0)}",68.0
09/27/2024,09272024_60,"{'Ube Milk Tea': (0, 0, 1), 'Strawberry Matcha': (0, 1, 0)}",15.5
09/27/2024,09272024_61,"{'Mango Green Tea': (2, 1, 0), 'Secret Matcha': (0, 1, 0)}",77.0
09/27/2024,09272024_62,"{'Cappuccino Milk Tea': (2, 0, 2)}",25.0
09/27/2024,09272024_63,"{'Mango Green Tea': (0, 0, 1), 'Strawberry Matcha': (2, 1, 0)}",24.0
09/27/2024,09272024_64,"{'Strawberry Lemonade Tea': (2, 0, 0), 'Peach Oolong Tea': (2, 0, 1)}",25.25
09/27/2024,09272024_65,"{'Green Milk Tea': (1, 2, 0), 'Oolong Milk Tea': (1, 0, 2), 'Passionfruit Green Tea': (0, 2, 0)}",46.0
09/27/2024,09272024_66,"{'Coconut Milk Tea': (1, 3, 2), 'Ube Milk Tea': (0, 1, 0), 'Peach Oolong Tea': (1, 1, 2)}",81.75
09/27/2024,09272024_67,"{'Secret Matcha': (0, 0, 1)}",70.25
09/27/2024,09272024_68,"{'Strawberry Lemonade Tea': (0, 1, 1), 'Cappuccino Milk Tea': (0, 1, 2), 'Passionfruit Green Tea': (2, 1, 2), 'Peach Oolong Tea': (1, 2, 0)}",85.25
09/27/2024,09272024_69,"{'Winter Melon Green Tea': (1, 0, 0), 'Protein Shake Milk Tea': (0, 3, 1), 'Peach Oolong Tea': (0, 2, 1)}",70.0
09/27/2024,09272024_70,"{'Ube Milk Tea': (2, 3, 1), 'Secret Matcha': (2, 1, 2)}",388.75
09/27/2024,09272024_71,"{'Coconut Milk Tea': (2, 1, 1)}",55.0
09/27/2024,09272024_72,"{'Passionfruit Green Tea': (1, 2, 0), 'Mango Green Tea': (2, 1, 1)}",32.75
09/27/2024,09272024_73,"{'Peach Oolong Tea': (2, 1, 0)}",19.75
09/27/2024,09272024_74,"{'Black Milk Tea': (2, 3, 0)}",24.25
09/27/2024,09272024_75,"{'Coconut Milk Tea': (0, 1, 0)}",7.25
09/27/2024,09272024_76,"{'Secret Matcha': (1, 1, 1), 'Passionfruit Green Tea': (2, 3, 2), 'Black Milk Tea': (1, 0, 1)}",269.0
09/27/2024,09272024_77,"{'Peach Oolong Tea': (1, 2, 1), 'Passionfruit Green Tea': (2, 1, 2)}",65.25
09/27/2024,09272024_78,"{'Winter Melon Green Tea': (0, 2, 0)}",16.5
09/27/2024,09272024_79,"{'Mango Green Tea': (0, 0, 1)}",4.25
09/27/2024,09272024_80,"{'Cappuccino Milk Tea': (1, 2, 1)}",25.0
09/27/2024,09272024_81,"{'Coconut Milk Tea': (0, 1, 0), 'Strawberry Matcha': (0, 3, 1), 'Original Milk Tea': (1, 2, 0), 'Winter Melon Green Tea': (0, 0, 2)}",70.5
09/27/2024,09272024_82,"{'Black Milk Tea': (1, 1, 2), 'Peach Oolong Tea': (2, 2, 2)}",65.5
09/27/2024,09272024_83,"{'Strawberry Lemonade Tea': (2, 0, 2)}",13.0
09/27/2024,09272024_84,"{'Black Milk Tea': (2, 1, 1), 'Coconut Milk Tea': (0, 3, 0)}",41.75
09/27/2024,09272024_85,"{'Ice Blend Latte': (0, 0, 2), 'Secret Matcha': (1, 1, 0)}",152.0
09/27/2024,09272024_86,"{'Green Milk Tea': (0, 1, 0), 'Cappuccino Milk Tea': (2, 2, 2), 'Passionfruit Green Tea': (0, 1, 2)}",66.5
09/27/2024,09272024_87,"{'Secret Matcha': (2, 1, 2)}",346.25
09/27/2024,09272024_88,"{'Oolong Milk Tea': (1, 2, 1), 'Strawberry Lemonade Tea': (0, 1, 2)}",32.75
09/27/2024,09272024_89,"{'Peach Oolong Tea': (1, 2, 2), 'Ice Blend Latte': (0, 1, 0)}",87.25
09/27/2024,09272024_90,"{'Winter Melon Green Tea': (2, 3, 0)}",39.25
09/27/2024,09272024_91,"{'Protein Shake Milk Tea': (1, 1, 0)}",18.5
09/27/2024,09272024_92,"{'Oolong Milk Tea': (2, 2, 0), 'Strawberry Matcha': (1, 0, 0), 'Cappuccino Milk Tea': (2, 0, 2)}",71.25
09/27/2024,09272024_93,"{'Oolong Milk Tea': (1, 1, 2)}",22.0
09/27/2024,09272024_94,"{'Mango Green Tea': (2, 3, 2)}",22.75
09/27/2024,09272024_95,"{'Strawberry Lemonade Tea': (1, 2, 0), 'Oolong Milk Tea': (0, 3, 1), 'Ube Milk Tea': (0, 2, 0)}",45.25
09/27/2024,09272024_96,"{'Cappuccino Milk Tea': (1, 0, 0), 'Secret Matcha': (1, 1, 1), 'Protein Shake Milk Tea': (2, 3, 2)}",281.25
09/27/2024,09272024_97,"{'Coconut Milk Tea': (2, 2, 0), 'Ice Blend Latte': (1, 0, 1)}",39.5
09/27/2024,09272024_98,"{'Mango Green Tea': (2, 3, 1), 'Ube Milk Tea': (1, 0, 2)}",41.25
09/27/2024,09272024_99,"{'Peach Oolong Tea': (2, 0, 0), 'Ube Milk Tea': (0, 0, 2)}",63.25
09/27/2024,09272024_100,"{'Peach Oolong Tea': (1, 1, 0), 'Green Milk Tea': (2, 2, 2), 'Oolong Milk Tea': (2, 2, 1), 'Ube Milk Tea': (1, 0, 1)}",84.75
09/27/2024,09272024_101,"{'Oolong Milk Tea': (1, 3, 0), 'Green Milk Tea': (2, 1, 0), 'Strawberry Matcha': (1, 0, 0)}",40.0
09/27/2024,09272024_102,"{'Secret Matcha': (2, 3, 0), 'Protein Shake Milk Tea': (0, 2, 0)}",363.75
09/27/2024,09272024_103,"{'Green Milk Tea': (2, 0, 0), 'Winter Melon Green Tea': (2, 0, 0)}",23.0
09/27/2024,09272024_104,"{'Oolong Milk Tea': (2, 2, 1), 'Protein Shake Milk Tea': (0, 2, 2)}",81.0
09/27/2024,09272024_105,"{'Strawberry Lemonade Tea': (2, 1, 2), 'Mango Green Tea': (1, 0, 0), 'Ube Milk Tea': (2, 1, 1), 'Coconut Milk Tea': (0, 1, 0)}",53.75
09/27/2024,09272024_106,"{'Protein Shake Milk Tea': (1, 1, 1)}",48.75
09/27/2024,09272024_107,"{'Original Milk Tea': (1, 1, 1), 'Peach Oolong Tea': (2, 3, 2)}",66.5
09/27/2024,09272024_108,"{'Strawberry Matcha': (0, 1, 2)}",23.75
09/27/2024,09272024_109,"{'Secret Matcha': (0, 1, 0), 'Peach Oolong Tea': (0, 3, 0), 'Green Milk Tea': (0, 0, 2), 'Ice Blend Latte': (2, 1, 1)}",127.5
09/27/2024,09272024_110,"{'Strawberry Matcha': (0, 2, 0), 'Original Milk Tea': (2, 0, 1)}",29.25
09/27/2024,09272024_111,"{'Ice Blend Latte': (0, 2, 0), 'Passionfruit Green Tea': (1, 0, 1), 'Secret Matcha': (1, 2, 1)}",304.0
09/27/2024,09272024_112,"{'Ube Milk Tea': (2, 2, 1), 'Strawberry Matcha': (1, 1, 0)}",48.75
09/27/2024,09272024_113,"{'Mango Green Tea': (1, 3, 1), 'Green Milk Tea': (2, 3, 2)}",53.0
09/27/2024,09272024_114,"{'Peach Oolong Tea': (1, 0, 0), 'Cappuccino Milk Tea': (1, 3, 1), 'Black Milk Tea': (0, 2, 2)}",111.25
09/27/2024,09272024_115,"{'Strawberry Matcha': (0, 1, 0)}",7.25
09/27/2024,09272024_116,"{'Passionfruit Green Tea': (2, 2, 1), 'Original Milk Tea': (2, 3, 1), 'Green Milk Tea': (1, 2, 2)}",93.0
09/27/2024,09272024_117,"{'Oolong Milk Tea': (0, 3, 0), 'Strawberry Lemonade Tea': (2, 0, 0), 'Ube Milk Tea': (0, 1, 1)}",35.75
09/27/2024,09272024_118,"{'Original Milk Tea': (2, 1, 0), 'Strawberry Matcha': (2, 3, 0), 'Ube Milk Tea': (2, 2, 2), 'Secret Matcha': (1, 3, 0)}",367.5
09/27/2024,09272024_119,"{'Protein Shake Milk Tea': (2, 3, 1), 'Green Milk Tea': (1, 0, 2)}",74.25
09/27/2024,09272024_120,"{'Black Milk Tea': (2, 3, 1), 'Ice Blend Latte': (0, 1, 0)}",36.75
09/27/2024,09272024_121,"{'Mango Green Tea': (0, 3, 0)}",9.75
09/27/2024,09272024_122,"{'Protein Shake Milk Tea': (1, 1, 0), 'Ube Milk Tea': (2, 1, 0)}",38.25
09/27/2024,09272024_123,"{'Green Milk Tea': (0, 1, 2)}",17.75
09/27/2024,09272024_124,"{'Black Milk Tea': (0, 0, 1), 'Mango Green Tea': (0, 3, 0), 'Strawberry Matcha': (0, 2, 1), 'Strawberry Lemonade Tea': (1, 2, 1)}",51.75
